Date,Ratio
11/1/2013,0.816834051
11/2/2013,0.826637972
11/3/2013,0.891917743
11/4/2013,0.912721186
11/5/2013,0.922285988
11/6/2013,0.904830225
11/7/2013,0.908177905
11/8/2013,0.875657580
11/9/2013,0.885222382
11/10/2013,0.896221903
11/11/2013,0.891439503
11/12/2013,0.909612626
11/13/2013,0.902439024
11/14/2013,0.884265901
11/15/2013,0.873505500
11/16/2013,0.889526542
11/17/2013,0.915351506
11/18/2013,0.935915830
11/19/2013,0.933285509
11/20/2013,0.920373027
11/21/2013,0.924677188
11/22/2013,0.876374940
11/23/2013,0.895982783
11/24/2013,0.911286466
11/25/2013,0.876374940
11/26/2013,0.869440459
11/27/2013,0.873983740
11/28/2013,0.872309900
11/29/2013,0.860114778
11/30/2013,0.842180775
12/1/2013,0.870157819
12/2/2013,0.896939264
12/3/2013,0.891200383
12/4/2013,0.909851746
12/5/2013,0.913438546
12/6/2013,0.889048302
12/7/2013,0.883787661
12/8/2013,0.890722143
12/9/2013,0.898613104
12/10/2013,0.905786705
12/11/2013,0.883309421
12/12/2013,0.901243424
12/13/2013,0.863701578
12/14/2013,0.849593496
12/15/2013,0.880918221
12/16/2013,0.894548063
12/17/2013,0.902439024
12/18/2013,0.903156385
12/19/2013,0.856767097
12/20/2013,0.838354854
12/21/2013,0.828311813
12/22/2013,0.849115256
12/23/2013,0.826398852
12/24/2013,0.806073649
12/25/2013,0.791248207
12/26/2013,0.813008130
12/27/2013,0.831898613
12/28/2013,0.863462458
12/29/2013,0.879244381
12/30/2013,0.900047824
12/31/2013,0.831659493
1/1/2014,0.862428843
1/2/2014,0.882590133
1/3/2014,0.892077799
1/4/2014,0.894924099
1/5/2014,0.908206831
1/6/2014,0.897296015
1/7/2014,0.916271347
1/8/2014,0.909392789
1/9/2014,0.885436433
1/10/2014,0.865037951
1/11/2014,0.861717268
1/12/2014,0.898244782
1/13/2014,0.910341556
1/14/2014,0.904411765
1/15/2014,0.907495256
1/16/2014,0.902039848
1/17/2014,0.871916509
1/18/2014,0.865512334
1/19/2014,0.900142315
1/20/2014,0.920066414
1/21/2014,0.922912713
1/22/2014,0.925996205
1/23/2014,0.907020873
1/24/2014,0.874525617
1/25/2014,0.860531309
1/26/2014,0.905123340
1/27/2014,0.918880455
1/28/2014,0.866223909
1/29/2014,0.877609108
1/30/2014,0.876897533
1/31/2014,0.879494655
2/1/2014,0.847053321
2/2/2014,0.865762395
2/3/2014,0.902478952
2/4/2014,0.902946679
2/5/2014,0.900841908
2/6/2014,0.907623948
2/7/2014,0.891721235
2/8/2014,0.884705332
2/9/2014,0.908559401
2/10/2014,0.918381665
2/11/2014,0.928437792
2/12/2014,0.928671656
2/13/2014,0.922357343
2/14/2014,0.872778297
2/15/2014,0.865996258
2/16/2014,0.890318054
2/17/2014,0.901075772
2/18/2014,0.913470533
2/19/2014,0.913236670
2/20/2014,0.911365762
2/21/2014,0.889616464
2/22/2014,0.883302152
2/23/2014,0.904583723
2/24/2014,0.906922357
2/25/2014,0.868334892
2/26/2014,0.861552853
2/27/2014,0.857109448
2/28/2014,0.865294668
3/1/2014,0.857811038
3/2/2014,0.873479888
3/3/2014,0.907390084
3/4/2014,0.908793265
3/5/2014,0.912768943
3/6/2014,0.902946679
3/7/2014,0.865996258
3/8/2014,0.831150608
3/9/2014,0.876052385
3/10/2014,0.906688494
3/11/2014,0.902011225
3/12/2014,0.904115996
3/13/2014,0.901777362
3/14/2014,0.869270346
3/15/2014,0.861552853
3/16/2014,0.887277830
3/17/2014,0.892422825
3/18/2014,0.904817587
3/19/2014,0.892656688
3/20/2014,0.913470533
3/21/2014,0.898503274
3/22/2014,0.891721235
3/23/2014,0.911365762
3/24/2014,0.921421890
3/25/2014,0.907390084
3/26/2014,0.871842844
3/27/2014,0.857811038
3/28/2014,0.841206735
3/29/2014,0.849625819
3/30/2014,0.869738073
3/31/2014,0.874649205
4/1/2014,0.885883749
4/2/2014,0.908422301
4/3/2014,0.895848161
4/4/2014,0.871886121
4/5/2014,0.854092527
4/6/2014,0.898457888
4/7/2014,0.902016607
4/8/2014,0.903677343
4/9/2014,0.906761566
4/10/2014,0.890628707
4/11/2014,0.890391459
4/12/2014,0.885172005
4/13/2014,0.910557533
4/14/2014,0.912692764
4/15/2014,0.926927639
4/16/2014,0.931198102
4/17/2014,0.891340451
4/18/2014,0.905575326
4/19/2014,0.857888493
4/20/2014,0.879478055
4/21/2014,0.889679715
4/22/2014,0.906761566
4/23/2014,0.917674970
4/24/2014,0.900118624
4/25/2014,0.841755635
4/26/2014,0.847212337
4/27/2014,0.856465006
4/28/2014,0.867615658
4/29/2014,0.872597865
4/30/2014,0.864451988
5/1/2014,0.884615385
5/2/2014,0.896277916
5/3/2014,0.899751861
5/4/2014,0.907940447
5/5/2014,0.923573201
5/6/2014,0.905459057
5/7/2014,0.900744417
5/8/2014,0.878660050
5/9/2014,0.865756824
5/10/2014,0.859801489
5/11/2014,0.864516129
5/12/2014,0.852357320
5/13/2014,0.867493797
5/14/2014,0.859553350
5/15/2014,0.861786600
5/16/2014,0.810669975
5/17/2014,0.792059553
5/18/2014,0.811910670
5/19/2014,0.830272953
5/20/2014,0.834491315
5/21/2014,0.832506203
5/22/2014,0.824813896
5/23/2014,0.804714640
5/24/2014,0.797766749
5/25/2014,0.834243176
5/26/2014,0.839205955
5/27/2014,0.783870968
5/28/2014,0.800744417
5/29/2014,0.803722084
5/30/2014,0.786104218
5/31/2014,0.788337469
6/1/2014,0.824935733
6/2/2014,0.849871465
6/3/2014,0.841902314
6/4/2014,0.868637532
6/5/2014,0.862724936
6/6/2014,0.821850900
6/7/2014,0.813624679
6/8/2014,0.843958869
6/9/2014,0.864267352
6/10/2014,0.855526992
6/11/2014,0.864267352
6/12/2014,0.848071979
6/13/2014,0.831876607
6/14/2014,0.752185090
6/15/2014,0.846786632
6/16/2014,0.863496144
6/17/2014,0.866323907
6/18/2014,0.875578406
6/19/2014,0.855784062
6/20/2014,0.813624679
6/21/2014,0.818251928
6/22/2014,0.824935733
6/23/2014,0.821079692
6/24/2014,0.824164524
6/25/2014,0.792802057
6/26/2014,0.773264781
6/27/2014,0.747814910
6/28/2014,0.764010283
6/29/2014,0.792544987
6/30/2014,0.808483290
7/1/2014,0.800514139
7/2/2014,0.818508997
7/3/2014,0.820308483
7/4/2014,0.782519280
7/5/2014,0.792802057
7/6/2014,0.834190231
7/7/2014,0.847300771
7/8/2014,0.832133676
7/9/2014,0.829820051
7/10/2014,0.845244216
7/11/2014,0.789974293
7/12/2014,0.794087404
7/13/2014,0.820822622
7/14/2014,0.831105398
7/15/2014,0.829305913
7/16/2014,0.825449871
7/17/2014,0.829820051
7/18/2014,0.787146530
7/19/2014,0.804370180
7/20/2014,0.824935733
7/21/2014,0.831362468
7/22/2014,0.827763496
7/23/2014,0.828020566
7/24/2014,0.843187661
7/25/2014,0.822879177
7/26/2014,0.779434447
7/27/2014,0.786118252
7/28/2014,0.755784062
7/29/2014,0.757069409
7/30/2014,0.757326478
7/31/2014,0.758611825
8/1/2014,0.770762379
8/2/2014,0.755043228
8/3/2014,0.797484936
8/4/2014,0.822373592
8/5/2014,0.817919832
8/6/2014,0.831019125
8/7/2014,0.820539691
8/8/2014,0.807440398
8/9/2014,0.786743516
8/10/2014,0.816609903
8/11/2014,0.810584228
8/12/2014,0.815299974
8/13/2014,0.809798271
8/14/2014,0.815037988
8/15/2014,0.783337700
8/16/2014,0.783861671
8/17/2014,0.832591040
8/18/2014,0.813466073
8/19/2014,0.834686927
8/20/2014,0.843856432
8/21/2014,0.844904375
8/22/2014,0.823159549
8/23/2014,0.811894158
8/24/2014,0.833376998
8/25/2014,0.838616715
8/26/2014,0.781241813
8/27/2014,0.781503799
8/28/2014,0.811108200
8/29/2014,0.779407912
8/30/2014,0.772072308
8/31/2014,0.807178412
9/1/2014,0.826086957
9/2/2014,0.822981366
9/3/2014,0.799689441
9/4/2014,0.825051760
9/5/2014,0.797877847
9/6/2014,0.775362319
9/7/2014,0.835921325
9/8/2014,0.895445135
9/9/2014,0.897774327
9/10/2014,0.892598344
9/11/2014,0.855590062
9/12/2014,0.835662526
9/13/2014,0.832556936
9/14/2014,0.847567288
9/15/2014,0.844319056
9/16/2014,0.837137728
9/17/2014,0.852526289
9/18/2014,0.844319056
9/19/2014,0.798666325
9/20/2014,0.797640421
9/21/2014,0.815337266
9/22/2014,0.839446012
9/23/2014,0.825596307
9/24/2014,0.837137728
9/25/2014,0.796614517
9/26/2014,0.779174147
9/27/2014,0.779174147
9/28/2014,0.814567838
9/29/2014,0.839958964
9/30/2014,0.854065145
10/1/2014,0.813815301
10/2/2014,0.823966328
10/3/2014,0.785095321
10/4/2014,0.765040852
10/5/2014,0.796236692
10/6/2014,0.819262194
10/7/2014,0.823223570
10/8/2014,0.822233226
10/9/2014,0.817281505
10/10/2014,0.776677395
10/11/2014,0.780638772
10/12/2014,0.796731864
10/13/2014,0.826194603
10/14/2014,0.829660807
10/15/2014,0.856647685
10/16/2014,0.839069077
10/17/2014,0.804407031
10/18/2014,0.806882892
10/19/2014,0.835850458
10/20/2014,0.846496658
10/21/2014,0.849962862
10/22/2014,0.848972518
10/23/2014,0.862342164
10/24/2014,0.823966328
10/25/2014,0.829908393
10/26/2014,0.884129735
10/27/2014,0.885367665
10/28/2014,0.834117356
10/29/2014,0.827184947
10/30/2014,0.827927705
10/31/2014,0.792027730
11/1/2014,0.810714286
11/2/2014,0.825238095
11/3/2014,0.838095238
11/4/2014,0.837857143
11/5/2014,0.839047619
11/6/2014,0.833571429
11/7/2014,0.812380952
11/8/2014,0.822857143
11/9/2014,0.877142857
11/10/2014,0.883571429
11/11/2014,0.887857143
11/12/2014,0.893571429
11/13/2014,0.869761905
11/14/2014,0.846666667
11/15/2014,0.836428571
11/16/2014,0.871904762
11/17/2014,0.875952381
11/18/2014,0.885952381
11/19/2014,0.875476190
11/20/2014,0.856190476
11/21/2014,0.839047619
11/22/2014,0.834761905
11/23/2014,0.87
11/24/2014,0.875
11/25/2014,0.85
11/26/2014,0.846428571
11/27/2014,0.827101691
11/28/2014,0.828571429
11/29/2014,0.837342224
11/30/2014,0.841428571
12/1/2014,0.856803610
12/2/2014,0.876988839
